time,position
0.000000000000000000e+00,-8.000000000000000654e-05
4.008016032064128836e-08,-7.967935871743487338e-05
8.016032064128257673e-08,-7.935871743486974021e-05
1.202404809619238783e-07,-7.903807615230462060e-05
1.603206412825651535e-07,-7.871743486973948743e-05
2.004008016032064286e-07,-7.839679358717435427e-05
2.404809619238477567e-07,-7.807615230460922110e-05
2.805611222444890318e-07,-7.775551102204408794e-05
3.206412825651303069e-07,-7.743486973947896832e-05
3.607214428857715820e-07,-7.711422845691383516e-05
4.008016032064128572e-07,-7.679358717434870199e-05
4.408817635270541852e-07,-7.647294589178356883e-05
4.809619238476955133e-07,-7.615230460921844921e-05
5.210420841683367355e-07,-7.583166332665331605e-05
5.611222444889780636e-07,-7.551102204408818288e-05
6.012024048096192857e-07,-7.519038076152304972e-05
6.412825651302606138e-07,-7.486973947895791655e-05
6.813627254509019419e-07,-7.454909819639279694e-05
7.214428857715431641e-07,-7.422845691382766377e-05
7.615230460921844921e-07,-7.390781563126253061e-05
8.016032064128257143e-07,-7.358717434869739744e-05
8.416833667334670424e-07,-7.326653306613226428e-05
8.817635270541083705e-07,-7.294589178356714466e-05
9.218436873747495927e-07,-7.262525050100201150e-05
9.619238476953910266e-07,-7.230460921843687833e-05
1.002004008016032249e-06,-7.198396793587174517e-05
1.042084168336673471e-06,-7.166332665330661200e-05
1.082164328657314693e-06,-7.134268537074149239e-05
1.122244488977956127e-06,-7.102204408817635922e-05
1.162324649298597349e-06,-7.070140280561122606e-05
1.202404809619238571e-06,-7.038076152304609289e-05
1.242484969939880005e-06,-7.006012024048097328e-05
1.282565130260521228e-06,-6.973947895791584011e-05
1.322645290581162450e-06,-6.941883767535070695e-05
1.362725450901803884e-06,-6.909819639278557378e-05
1.402805611222445106e-06,-6.877755511022044061e-05
1.442885771543086328e-06,-6.845691382765532100e-05
1.482965931863727762e-06,-6.813627254509018784e-05
1.523046092184368984e-06,-6.781563126252505467e-05
1.563126252505010206e-06,-6.749498997995992150e-05
1.603206412825651429e-06,-6.717434869739480189e-05
1.643286573146292863e-06,-6.685370741482966873e-05
1.683366733466934085e-06,-6.653306613226453556e-05
1.723446893787575307e-06,-6.621242484969940239e-05
1.763527054108216741e-06,-6.589178356713426923e-05
1.803607214428857963e-06,-6.557114228456913606e-05
1.843687374749499185e-06,-6.525050100200401645e-05
1.883767535070140619e-06,-6.492985971943888328e-05
1.923847695390782053e-06,-6.460921843687375012e-05
1.963927855711423275e-06,-6.428857715430861695e-05
2.004008016032064498e-06,-6.396793587174349734e-05
2.044088176352705720e-06,-6.364729458917836417e-05
2.084168336673346942e-06,-6.332665330661323101e-05
2.124248496993988164e-06,-6.300601202404809784e-05
2.164328657314629386e-06,-6.268537074148296468e-05
2.204408817635271032e-06,-6.236472945891783151e-05
2.244488977955912254e-06,-6.204408817635271190e-05
2.284569138276553476e-06,-6.172344689378757873e-05
2.324649298597194699e-06,-6.140280561122244557e-05
2.364729458917835921e-06,-6.108216432865732595e-05
2.404809619238477143e-06,-6.076152304609219279e-05
2.444889779559118789e-06,-6.044088176352705962e-05
2.484969939879760011e-06,-6.012024048096192646e-05
2.525050100200401233e-06,-5.979959919839679329e-05
2.565130260521042455e-06,-5.947895791583166690e-05
2.605210420841683677e-06,-5.915831663326654051e-05
2.645290581162324900e-06,-5.883767535070140735e-05
2.685370741482966122e-06,-5.851703406813627418e-05
2.725450901803607768e-06,-5.819639278557114102e-05
2.765531062124248990e-06,-5.787575150300600785e-05
2.805611222444890212e-06,-5.755511022044088824e-05
2.845691382765531434e-06,-5.723446893787575507e-05
2.885771543086172656e-06,-5.691382765531062191e-05
2.925851703406813878e-06,-5.659318637274549552e-05
2.965931863727455524e-06,-5.627254509018036235e-05
3.006012024048096746e-06,-5.595190380761523596e-05
3.046092184368737969e-06,-5.563126252505010280e-05
3.086172344689379191e-06,-5.531062124248496963e-05
3.126252505010020413e-06,-5.498997995991983646e-05
3.166332665330661635e-06,-5.466933867735471685e-05
3.206412825651302857e-06,-5.434869739478958369e-05
3.246492985971944503e-06,-5.402805611222445052e-05
3.286573146292585725e-06,-5.370741482965931735e-05
3.326653306613226947e-06,-5.338677354709419774e-05
3.366733466933868170e-06,-5.306613226452906458e-05
3.406813627254509392e-06,-5.274549098196393141e-05
3.446893787575150614e-06,-5.242484969939879824e-05
3.486973947895792260e-06,-5.210420841683367185e-05
3.527054108216433482e-06,-5.178356713426853869e-05
3.567134268537074704e-06,-5.146292585170341230e-05
3.607214428857715926e-06,-5.114228456913827913e-05
3.647294589178357148e-06,-5.082164328657314597e-05
3.687374749498998371e-06,-5.050100200400802636e-05
3.727454909819640016e-06,-5.018036072144288641e-05
3.767535070140281239e-06,-4.985971943887776002e-05
3.807615230460922461e-06,-4.953907815631262686e-05
3.847695390781564106e-06,-4.921843687374749369e-05
3.887775551102204905e-06,-4.889779559118236730e-05
3.927855711422846551e-06,-4.857715430861723414e-05
3.967935871743487349e-06,-4.825651302605210775e-05
4.008016032064128995e-06,-4.793587174348697458e-05
4.048096192384769794e-06,-4.761523046092184819e-05
